County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Adair,Kentucky,US,37.10459774,-85.28129668,"Adair, Kentucky, US",3,3,3,3,6,6,6,11,11,43,43,45,45,47,53,54,54,60,63,80,83,83,77,79,79,81,81,81,81,81,81
Allen,Kentucky,US,36.75197631,-86.19457544,"Allen, Kentucky, US",2,2,2,2,3,3,3,4,4,2,2,3,4,4,4,4,4,5,5,6,7,7,8,9,12,13,14,14,14,14,16
Anderson,Kentucky,US,38.00671029,-84.99171713,"Anderson, Kentucky, US",3,3,3,3,3,3,3,3,3,3,4,5,5,7,6,6,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9
Ballard,Kentucky,US,37.05842757,-88.99427697,"Ballard, Kentucky, US",0,0,0,0,1,1,1,1,1,2,2,4,3,3,4,4,4,4,4,5,5,7,7,9,9,9,10,10,10,8,8
Barren,Kentucky,US,36.96469836,-85.93338945,"Barren, Kentucky, US",0,0,1,1,1,1,1,5,5,5,5,6,6,6,6,6,7,8,8,9,13,13,15,15,16,17,17,17,18,20,22
Bath,Kentucky,US,38.14735938,-83.74588932,"Bath, Kentucky, US",1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
Bell,Kentucky,US,36.73355174,-83.67766671,"Bell, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Kentucky,US,38.97065142,-84.72615357,"Boone, Kentucky, US",12,12,21,21,23,23,23,48,48,58,56,67,73,74,81,81,86,93,94,98,103,113,116,125,125,138,144,144,170,171,191
Bourbon,Kentucky,US,38.2054607,-84.21827874,"Bourbon, Kentucky, US",4,4,4,4,4,4,4,4,4,4,4,7,5,7,7,7,7,6,6,7,7,7,7,7,7,8,8,8,8,9,8
Boyd,Kentucky,US,38.36176608,-82.68652187,"Boyd, Kentucky, US",13,13,15,15,17,17,17,26,26,23,24,27,29,29,29,29,29,30,30,31,33,33,33,33,33,31,31,31,31,31,31
Boyle,Kentucky,US,37.62680923,-84.8633779,"Boyle, Kentucky, US",7,7,7,7,9,9,9,13,13,14,12,12,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17
Bracken,Kentucky,US,38.69158994,-84.08532444,"Bracken, Kentucky, US",1,1,1,1,1,1,1,6,6,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9
Breathitt,Kentucky,US,37.52333168,-83.31959161,"Breathitt, Kentucky, US",1,1,1,1,1,1,1,2,2,3,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Breckinridge,Kentucky,US,37.77377239,-86.42885017,"Breckinridge, Kentucky, US",2,2,2,2,3,3,3,3,3,3,3,4,5,6,6,6,6,6,6,7,7,8,8,8,9,9,9,9,9,9,9
Bullitt,Kentucky,US,37.97162523,-85.68955617,"Bullitt, Kentucky, US",11,11,11,11,14,14,14,27,27,34,30,31,31,31,33,33,33,34,36,40,43,48,50,51,51,53,55,55,56,56,68
Butler,Kentucky,US,37.20946153,-86.68748787,"Butler, Kentucky, US",1,1,1,1,2,2,2,11,11,22,24,27,51,62,73,72,74,91,92,98,103,104,103,113,114,116,141,141,143,167,181
Caldwell,Kentucky,US,37.14749129,-87.86948214,"Caldwell, Kentucky, US",2,2,2,2,5,5,5,10,10,9,10,10,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,12,12,12,12
Calloway,Kentucky,US,36.62093411,-88.2731593,"Calloway, Kentucky, US",5,5,5,5,8,8,8,14,14,16,15,22,22,21,21,21,22,22,24,26,29,31,31,31,31,34,34,34,35,35,35
Campbell,Kentucky,US,38.94384345,-84.37875208,"Campbell, Kentucky, US",12,12,13,13,29,29,29,47,47,45,47,53,55,55,56,58,60,64,64,70,73,79,81,85,86,89,92,92,95,97,103
Carlisle,Kentucky,US,36.85372876,-88.96692220000000,"Carlisle, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2
Carroll,Kentucky,US,38.66599534,-85.12601074,"Carroll, Kentucky, US",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Carter,Kentucky,US,38.31690743,-83.05092385,"Carter, Kentucky, US",1,1,1,1,1,1,1,1,1,3,3,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6
Casey,Kentucky,US,37.32533118,-84.92726209,"Casey, Kentucky, US",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Christian,Kentucky,US,36.89267803,-87.49055367,"Christian, Kentucky, US",30,30,32,32,45,45,45,62,62,69,71,72,78,79,79,79,79,86,86,85,85,85,86,86,86,86,88,88,90,90,91
Clark,Kentucky,US,37.9689263,-84.14615986,"Clark, Kentucky, US",11,11,11,11,11,11,11,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,21,21,21,20,20,20
Clay,Kentucky,US,37.16451126,-83.712575,"Clay, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clinton,Kentucky,US,36.72581156,-85.13377529,"Clinton, Kentucky, US",1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Crittenden,Kentucky,US,37.35839237,-88.08826090000000,"Crittenden, Kentucky, US",1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Cumberland,Kentucky,US,36.78926125,-85.39050034,"Cumberland, Kentucky, US",1,1,1,1,1,1,1,3,3,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5
Daviess,Kentucky,US,37.73028906,-87.09019480000000,"Daviess, Kentucky, US",55,55,58,58,61,79,79,81,81,87,89,106,105,109,125,130,130,134,133,145,147,154,157,169,182,188,194,194,217,223,242
Edmonson,Kentucky,US,37.21218923,-86.23955613,"Edmonson, Kentucky, US",5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,11,13,15,17,17,19,26,26,26,26,26,36
Elliott,Kentucky,US,38.11624059,-83.09771563,"Elliott, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estill,Kentucky,US,37.69241417,-83.95956369,"Estill, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,Kentucky,US,38.0368225,-84.45576892,"Fayette, Kentucky, US",122,122,123,123,148,148,148,179,179,197,206,209,210,218,219,219,219,223,223,226,235,238,239,242,246,248,254,254,287,295,298
Fleming,Kentucky,US,38.36758311,-83.69657514,"Fleming, Kentucky, US",0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Floyd,Kentucky,US,37.56213922,-82.74750924,"Floyd, Kentucky, US",0,0,0,0,0,0,0,1,1,1,0,4,4,4,4,4,4,4,4,6,6,10,10,12,13,13,14,14,12,12,12
Franklin,Kentucky,US,38.2379395,-84.87962551,"Franklin, Kentucky, US",7,7,7,7,10,10,10,10,10,11,11,11,12,21,13,13,13,14,14,15,15,16,16,16,16,16,16,16,17,17,16
Fulton,Kentucky,US,36.55238827,-89.20140068,"Fulton, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1
Gallatin,Kentucky,US,38.75398691,-84.8558382,"Gallatin, Kentucky, US",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Garrard,Kentucky,US,37.6388668,-84.53289319,"Garrard, Kentucky, US",0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Grant,Kentucky,US,38.64962758,-84.62415957,"Grant, Kentucky, US",2,2,2,2,3,3,3,13,13,14,14,16,16,16,16,16,17,19,18,18,18,18,18,20,20,21,21,21,25,25,26
Graves,Kentucky,US,36.72292505,-88.65143315,"Graves, Kentucky, US",2,2,2,2,5,5,5,9,9,13,16,24,28,41,51,63,68,84,84,89,109,114,119,122,124,131,137,137,138,141,143
Grayson,Kentucky,US,37.46231118,-86.34248968,"Grayson, Kentucky, US",2,2,2,2,2,2,2,4,4,5,5,6,8,8,14,16,16,23,25,37,42,60,60,60,62,65,69,69,79,84,91
Green,Kentucky,US,37.26484328,-85.5540745,"Green, Kentucky, US",0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greenup,Kentucky,US,38.54332505,-82.9215658,"Greenup, Kentucky, US",1,1,2,2,2,2,2,5,5,5,7,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12
Hancock,Kentucky,US,37.83766422,-86.78280584,"Hancock, Kentucky, US",1,1,1,1,2,2,2,2,2,2,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hardin,Kentucky,US,37.6976111,-85.96319251,"Hardin, Kentucky, US",9,9,9,9,9,9,9,21,21,24,25,27,29,29,29,29,30,32,32,32,34,35,37,37,37,40,44,44,48,49,52
Harlan,Kentucky,US,36.85699301,-83.21899516,"Harlan, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,Kentucky,US,38.44188174,-84.32869741,"Harrison, Kentucky, US",12,12,12,12,14,14,14,14,14,15,14,14,16,16,16,16,16,17,17,18,18,18,17,17,17,17,17,17,17,18,18
Hart,Kentucky,US,37.29943898,-85.88461055,"Hart, Kentucky, US",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,6,8
Henderson,Kentucky,US,37.79344553,-87.57392021,"Henderson, Kentucky, US",6,6,6,6,9,23,23,29,29,23,20,26,25,28,28,33,36,40,40,44,45,45,49,58,58,58,62,62,65,67,73
Henry,Kentucky,US,38.44942688,-85.11587507,"Henry, Kentucky, US",2,2,2,2,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,3,4,6,6,6,6,6,6,6,8,8,8
Hickman,Kentucky,US,36.67948080000000,-88.97875928,"Hickman, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,1,1,1,4,5
Hopkins,Kentucky,US,37.30939025,-87.54670406,"Hopkins, Kentucky, US",34,34,36,36,57,57,57,87,87,87,91,97,104,109,111,112,144,150,157,170,174,183,187,191,192,196,201,201,206,203,204
Jackson,Kentucky,US,37.41866422,-83.99825483,"Jackson, Kentucky, US",0,0,0,0,3,3,3,5,5,12,23,37,43,43,55,57,57,57,58,58,58,60,60,59,59,59,59,59,59,59,60
Jefferson,Kentucky,US,38.18664655,-85.65931031,"Jefferson, Kentucky, US",304,304,319,319,380,380,380,495,550,531,573,600,599,689,814,867,925,954,1008,1121,1121,1120,1140,1224,1281,1307,1352,1352,1403,1419,1497
Jessamine,Kentucky,US,37.87119786,-84.58252003,"Jessamine, Kentucky, US",16,16,16,16,18,18,18,26,26,28,29,30,31,33,32,32,32,31,31,31,32,34,34,37,40,41,41,40,40,40,40
Johnson,Kentucky,US,37.85106355,-82.8264322,"Johnson, Kentucky, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3
Kenton,Kentucky,US,38.93950319,-84.53241199,"Kenton, Kentucky, US",33,33,36,36,54,54,54,91,91,99,106,112,121,128,149,156,169,179,214,223,226,227,230,247,248,276,286,286,308,317,340
Knott,Kentucky,US,37.35388197,-82.94981134,"Knott, Kentucky, US",0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4
Knox,Kentucky,US,36.89225732,-83.85403396,"Knox, Kentucky, US",0,0,0,0,0,0,0,1,1,1,1,3,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,8
Larue,Kentucky,US,37.54567114,-85.70138352,"Larue, Kentucky, US",3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laurel,Kentucky,US,37.10975748,-84.11321779,"Laurel, Kentucky, US",2,2,2,2,5,5,5,9,9,9,11,12,13,13,13,13,14,14,13,13,14,14,14,14,15,17,17,17,17,17,19
Lawrence,Kentucky,US,38.07136018,-82.72882223,"Lawrence, Kentucky, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lee,Kentucky,US,37.59645942,-83.71513901,"Lee, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leslie,Kentucky,US,37.09246661,-83.37999606,"Leslie, Kentucky, US",0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
Letcher,Kentucky,US,37.12306748,-82.85346474,"Letcher, Kentucky, US",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3
Lewis,Kentucky,US,38.53184419,-83.37735618,"Lewis, Kentucky, US",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Lincoln,Kentucky,US,37.45475628,-84.6565327,"Lincoln, Kentucky, US",0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
Livingston,Kentucky,US,37.21137452,-88.34797529,"Livingston, Kentucky, US",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,6,6,6
Logan,Kentucky,US,36.85949479,-86.877635,"Logan, Kentucky, US",4,4,4,4,5,5,5,5,5,5,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,10,11,11,13,14,15
Lyon,Kentucky,US,37.02080035,-88.07886257,"Lyon, Kentucky, US",4,4,4,4,6,6,6,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13
McCracken,Kentucky,US,37.05350953,-88.70445755,"McCracken, Kentucky, US",13,13,13,13,16,16,16,21,21,23,24,28,27,29,29,29,30,30,30,31,34,43,44,48,48,55,58,58,59,62,63
McCreary,Kentucky,US,36.73874143,-84.48102924,"McCreary, Kentucky, US",1,1,1,1,3,3,3,8,8,7,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
McLean,Kentucky,US,37.5301951,-87.26803443,"McLean, Kentucky, US",1,1,1,1,2,5,5,7,7,6,6,7,7,7,8,8,8,9,9,10,11,12,12,12,13,15,15,15,16,16,16
Madison,Kentucky,US,37.71659336,-84.27220275,"Madison, Kentucky, US",11,11,12,12,14,14,14,18,18,20,21,21,21,21,21,21,21,23,23,26,27,29,29,29,29,28,29,29,29,30,31
Magoffin,Kentucky,US,37.70820545,-83.0657714,"Magoffin, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,Kentucky,US,37.55218078,-85.26898542,"Marion, Kentucky, US",3,3,3,3,4,4,4,11,11,10,11,12,13,13,13,13,13,13,13,13,14,15,16,16,16,16,17,17,17,17,17
Marshall,Kentucky,US,36.88007070000000,-88.32803576,"Marshall, Kentucky, US",3,3,5,5,8,8,8,11,11,11,12,12,12,12,12,14,16,20,23,23,27,31,33,34,34,34,34,34,34,33,33
Martin,Kentucky,US,37.79990579,-82.51247478,"Martin, Kentucky, US",1,1,1,1,1,1,1,4,4,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mason,Kentucky,US,38.59471935,-83.82151043,"Mason, Kentucky, US",2,2,2,2,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Meade,Kentucky,US,37.96163597,-86.21028219,"Meade, Kentucky, US",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,6,7,9,11,11,12,12,12,14,15,15
Menifee,Kentucky,US,37.94090733,-83.59985712,"Menifee, Kentucky, US",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Mercer,Kentucky,US,37.81474237,-84.87488475,"Mercer, Kentucky, US",4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Metcalfe,Kentucky,US,36.99459295,-85.63123699,"Metcalfe, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Monroe,Kentucky,US,36.71225341,-85.71596443,"Monroe, Kentucky, US",0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6
Montgomery,Kentucky,US,38.03253032,-83.9145241,"Montgomery, Kentucky, US",5,5,6,6,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,12,12,12,11,11
Morgan,Kentucky,US,37.92465657,-83.25558245,"Morgan, Kentucky, US",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Muhlenberg,Kentucky,US,37.21425819,-87.14632053,"Muhlenberg, Kentucky, US",0,0,27,27,26,26,26,28,28,45,47,55,54,58,75,76,76,74,72,91,96,111,111,114,116,123,125,125,132,132,442
Nelson,Kentucky,US,37.80335779,-85.4657193,"Nelson, Kentucky, US",4,4,4,4,7,7,7,10,10,13,13,14,13,13,13,13,13,14,14,17,17,19,19,20,21,22,23,23,24,24,24
Nicholas,Kentucky,US,38.33342292,-84.01889177,"Nicholas, Kentucky, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ohio,Kentucky,US,37.47751843,-86.85368087,"Ohio, Kentucky, US",1,1,1,1,4,8,8,8,8,8,7,9,9,13,17,17,17,25,26,34,38,38,38,40,40,39,49,49,51,53,62
Oldham,Kentucky,US,38.39791089,-85.448222,"Oldham, Kentucky, US",7,7,8,8,11,11,11,16,16,18,19,22,23,23,22,22,24,24,24,24,24,27,27,28,29,29,32,32,33,33,36
Owen,Kentucky,US,38.51679143,-84.82404619,"Owen, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Owsley,Kentucky,US,37.42823949,-83.68811419,"Owsley, Kentucky, US",0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2
Pendleton,Kentucky,US,38.69607718,-84.35599463,"Pendleton, Kentucky, US",2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5
Perry,Kentucky,US,37.25023553,-83.22922731,"Perry, Kentucky, US",3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,3,3,6,6,6,6,6,12,13,13,14,14,14
Pike,Kentucky,US,37.47088263,-82.39487445,"Pike, Kentucky, US",1,1,1,1,1,1,1,4,4,5,5,6,6,6,6,6,6,6,6,8,8,9,9,11,11,11,13,13,13,13,13
Powell,Kentucky,US,37.83218794,-83.82553961,"Powell, Kentucky, US",1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pulaski,Kentucky,US,37.10466131,-84.57629079,"Pulaski, Kentucky, US",13,13,13,13,26,26,26,33,33,31,31,33,34,35,35,35,36,38,38,39,41,41,41,43,43,43,43,43,43,43,43
Robertson,Kentucky,US,38.51923469,-84.05055616,"Robertson, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockcastle,Kentucky,US,37.36642393,-84.31176452,"Rockcastle, Kentucky, US",2,2,4,4,6,6,6,8,8,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,11,12
Rowan,Kentucky,US,38.19484205,-83.42088935,"Rowan, Kentucky, US",0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Russell,Kentucky,US,36.99308373,-85.06070117,"Russell, Kentucky, US",1,1,1,1,4,4,4,8,8,7,8,12,11,12,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17
Scott,Kentucky,US,38.29622293,-84.5816631,"Scott, Kentucky, US",14,14,14,14,15,15,15,22,22,26,21,21,22,23,23,22,22,22,22,23,23,25,24,24,24,24,24,24,24,24,25
Shelby,Kentucky,US,38.21476019,-85.194223,"Shelby, Kentucky, US",7,7,8,8,11,11,11,18,18,18,19,21,22,23,23,22,24,23,23,26,26,28,28,28,28,30,30,30,32,31,33
Simpson,Kentucky,US,36.74058474,-86.58047435,"Simpson, Kentucky, US",13,13,13,13,14,14,14,17,17,16,17,19,20,21,21,21,22,22,22,22,23,24,24,24,27,27,28,28,29,28,31
Spencer,Kentucky,US,38.03223971,-85.32749335,"Spencer, Kentucky, US",2,2,2,2,3,3,3,6,6,6,9,8,8,8,9,9,9,9,9,9,10,10,10,10,12,13,13,13,13,14,15
Taylor,Kentucky,US,37.3677562,-85.3329931,"Taylor, Kentucky, US",2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,4,4,4,4,5,6,6,6,8,8,8,8,8,8,8,8
Todd,Kentucky,US,36.8381152,-87.17878374,"Todd, Kentucky, US",0,0,0,0,3,3,3,6,6,7,8,10,9,11,9,9,9,9,9,10,10,11,11,12,12,12,12,12,12,12,13
Trigg,Kentucky,US,36.80767017,-87.87333656,"Trigg, Kentucky, US",0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,5,5,5,8,9,9,9,9,9,9,9
Trimble,Kentucky,US,38.61056487,-85.33775972,"Trimble, Kentucky, US",0,0,0,0,0,0,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Union,Kentucky,US,37.66166713,-87.94300009,"Union, Kentucky, US",2,2,2,2,3,3,3,5,5,5,5,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
Warren,Kentucky,US,36.99903045,-86.42672751,"Warren, Kentucky, US",21,21,21,21,24,24,24,49,49,47,52,71,71,87,95,101,112,131,130,165,184,219,234,263,313,332,344,344,369,400,426
Washington,Kentucky,US,37.75599461,-85.17407732,"Washington, Kentucky, US",2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5
Wayne,Kentucky,US,36.80310688,-84.8251971,"Wayne, Kentucky, US",4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,7,6,6,6,6,6,7,9,9,9,7,7,8,8
Webster,Kentucky,US,37.52168356,-87.67989953,"Webster, Kentucky, US",3,3,3,3,3,7,7,8,8,7,9,11,12,13,13,13,13,16,16,16,19,20,19,21,21,22,22,22,23,24,25
Whitley,Kentucky,US,36.75700531,-84.14541217,"Whitley, Kentucky, US",0,0,0,0,1,1,1,4,4,5,5,7,8,8,8,8,8,10,10,10,10,11,11,11,11,11,11,11,11,11,11
Wolfe,Kentucky,US,37.73941626,-83.49303612,"Wolfe, Kentucky, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodford,Kentucky,US,38.04178222,-84.7417556,"Woodford, Kentucky, US",9,9,8,8,9,9,9,17,17,16,16,20,18,19,18,18,18,19,19,19,19,19,19,17,18,18,18,18,18,18,17
Totals,,,,,,921,921,997,997,1265,1308,1308,1851,1906,2025,2132,2358,2435,2634,2881,2977,3131,3306,3412,3721,3857,4027,4098,4325,4487,4655,4829,4823,5068,5187,5765